course_key,title,description,source,institution,academic_year
MATH150,Calculus and Analytic Geometry,"This course is for the student planning upper-division work in math, physics, engineering or business. It involves differentiation and integration of algebraic, trigonometric, exponential, and logarithmic functions. Applications include extrema, graphing, related rates, area. (MATH 150 + MATH 160 = C-ID: MATH 900S) (UC, CSU, AVC)",catalog,avc,2025-26
MATH160,Calculus and Analytic Geometry,"This course is a continuation of Math 150. It includes applications of integration, integration techniques, indeterminate forms, improper integrals, infinite series, and topics in analytic geometry. (C-ID: MATH 220) (UC, CSU, AVC)",catalog,avc,2025-26
MATH250,Calculus and Analytic Geometry,"This course is a continuation of MATH 160. Includes vector theory and the geometry of 3-dimensional space, vector-valued functions, functions of several variables, partial differentiation, multiple integration and vector analysis. (C-ID: MATH 230) (UC, CSU, AVC)",catalog,avc,2025-26
MATH230,Introduction to Ordinary Differential Equations,"This is an introduction course in solving numerous types of ordinary differential equations including first order linear and nonlinear equations, higher order linear equations, systems of linear equations, and the associated initial value problems. In addition to the standard methods, the Laplace transform, power series method, and matrix method are covered. Applications of differential equations in physics, chemistry, economics and social sciences will be studied throughout the course. (C-ID: MATH 240) (CSU, UC, AVC)",catalog,avc,2025-26
MATH220,Linear Algebra,"This is an introductory course in linear algebra, designed for transfer students majoring in the mathematical, biological, physical, engineering, sociological or managerial sciences. Topics to be covered include systems of linear equations, matrices, determinants, vector spaces, inner product spaces, linear transformations, eigenvalues and eigenvectors. This course will include references to applications of the above topics in the areas of differential equations, least squares fitting to data, geometry of linear operators on R2, diagonalizing quadratic forms and conic sections. (C-ID: MATH 250) (CSU, UC, AVC)",catalog,avc,2025-26
PHYS110,General Physics,"This course is the first part of a three-semester calculus-based introductory physics course for scientists and engineers. Topics covered are: kinematics, Newton's laws, statics, linear momentum, linear-rotational analogs, rotational dynamics, energy and its transformation, fluids, gravitation and oscillations. (C-ID: PHYS 205) (CSU, UC, AVC)",catalog,avc,2025-26
PHYS120,General Physics,"This course is the second part of a three-semester calculus based introductory physics course for scientists and engineers. Topics covered are: electrostatics, electric fields and potentials, capacitance, resistance and current, DC circuits, magnetic fields, magnetic induction, Maxwell's Laws and AC circuits. (C-ID: PHYS 210) (CSU, UC, AVC)",catalog,avc,2025-26
CHEM110,General Chemistry,"This course is designed for students taking courses in the sciences, mathematics, and related STEM areas. It introduces the atom and its largest subatomic particles. Describes and quantifies how these particles are involved in chemical reactions, physical states, chemical energy, and bonding models. Examines chemical theory in the context of familiar phenomena. Theories are tested and evaluated in the laboratory. To succeed in CHEM 110, students are required to successfully complete CHEM 101 or one year of High School Chemistry. Algebra is used extensively to solve problems involving quantities. One hour of lecture time may be reserved for small group activities and analysis. (C-ID: CHEM 110) (UC, CSU, AVC)",catalog,avc,2025-26
ENGR210,Statics,"A first course in engineering mechanics: properties of forces, moments, couples and resultants; two- and three-dimensional force systems acting on engineering structures in equilibrium; analysis of trusses, and beams; distributed forces, shear and bending moment diagrams, center of gravity, centroids, friction, and area and mass moments of inertia. Optional additional topics include fluid statics, cables, Mohr's circle and virtual work. (C-ID: ENGR 130) (CSU, UC, AVC)",catalog,avc,2025-26
ENGR140,Engineering 3D Graphics,"This course covers the principles of engineering designs using computer-aided design (CAD). Topics include the development of visualization skills; mechanical dimensioning and tolerancing practices; and the engineering design process. Assignments develop 2-D and 3-D CAD skills. The use of 3D CAD software is an integral part of the course. (C-ID: ENGR 150) (UC, CSU, AVC)",catalog,avc,2025-26
ENGR110,Engineering Orientation and Basic Skills,"The course explores the branches of engineering, the functions of an engineer, and the industries in which engineers work. The course also explains the engineering education pathways and explores effective strategies for students to reach their full academic potential. An introduction to the methods and tools of engineering problem solving and design including the interface of the engineer with society and engineering ethics are also covered in this course. Students will develop communication skills pertinent to the engineering profession. (C-ID: ENGR 110) (UC, CSU, AVC)",catalog,avc,2025-26
ENGR125,Programming and Problem-Solving in MATLAB,"This course utilizes the MATLAB environment to provide students with a working knowledge of computer-based problem-solving methods relevant to science and engineering. It introduces the fundamentals of procedural and object-oriented programming, numerical analysis, and data structures. Examples and assignments in the course are drawn from practical applications in engineering, physics, and mathematics.  (C-ID: ENGR 220) (CSU, UC, AVC)",catalog,avc,2025-26
